Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"D29,D6,D14,D40,D8,D3,D36,D32,D1,D15,D34,D23,D21,D39,D30,D41,D20,D24,D26,D22,D13,D7,D4,D38,D31,D2,D9,D12,D35,D33,D17,D27,D16,D28,D18,D5,D19,D10,D37,D11",D_SOD-123,40,D_Small,C64898
2,"C1,C5,C7,C2",C_0402_1005Metric,4,0.1uF,C161338
3,"C4,C3",C_0402_1005Metric,2,22pF,C106203
4,"R4,R3",R_0402_1005Metric,2,10k,C77131
5,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C133336
6,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-M,C112161
7,F1,Fuse_1206_3216Metric,1,500mA,C155093
8,J1,JST-SR-4,1,Conn_01x04_MountingPin,C160404
9,"R2,R1",R_0402_1005Metric,2,22,C25092
10,"R9,R8",R_0402_1005Metric,2,220 ohm,C316269
11,D25,SOT-143,1,PRTR5V0U2X,C2827688
12,C6,C_0402_1005Metric,1,1uF,C182246
13,C8,C_0402_1005Metric,1,10uF,C237279
